experiment,problem,pbs_pbo,problem_kind,rank,solver,status,value,wall_time_sec,note
10s,bitvector_equalities_17arraycomm,PBS,bitvector_equalities,1,Gurobi,UNSATISFIABLE,,0.067,proved
10s,bitvector_equalities_17arraycomm,PBS,bitvector_equalities,2,MaxSAT/RC2,UNSATISFIABLE,,0.146,proved
10s,bitvector_equalities_17arraycomm,PBS,bitvector_equalities,3,NaPS,UNKNOWN,,10.002,timeout
10s,bitvector_equalities_17arraycomm,PBS,bitvector_equalities,4,RoundingSat,UNKNOWN,,10.002,timeout
10s,bitvector_equalities_17arraycomm,PBS,bitvector_equalities,5,SCIP,SATISFIABLE,,0.042,invalid_solution_by_opb_check
10s,clique_coloring_n5_t3,PBO,clique_coloring,1,NaPS,OPTIMUM FOUND,2,0.016179,proved
10s,clique_coloring_n5_t3,PBO,clique_coloring,2,MaxSAT/RC2,OPTIMUM FOUND,2,0.081576,proved
10s,clique_coloring_n5_t3,PBO,clique_coloring,3,RoundingSat,OPTIMUM FOUND,2,0.092394,proved
10s,clique_coloring_n5_t3,PBO,clique_coloring,4,SCIP,OPTIMUM FOUND,2,0.106069,proved
10s,clique_coloring_n5_t3,PBO,clique_coloring,5,Gurobi,OPTIMUM FOUND,2,0.523967,proved
10s,clique_coloring_n8_t6,PBO,clique_coloring,1,MaxSAT/RC2,OPTIMUM FOUND,2,0.163,proved
10s,clique_coloring_n8_t6,PBO,clique_coloring,2,Gurobi,OPTIMUM FOUND,2,0.305,proved
10s,clique_coloring_n8_t6,PBO,clique_coloring,3,RoundingSat,SATISFIABLE / TIMEOUT,2,10.002,incumbent
10s,clique_coloring_n8_t6,PBO,clique_coloring,4,SCIP,TIMEOUT,2,10.002,incumbent
10s,clique_coloring_n8_t6,PBO,clique_coloring,5,NaPS,SATISFIABLE / TIMEOUT,3,10.002,incumbent
10s,knapsack_subset_sum_200,PBO,knapsack_subset_sum,1,RoundingSat,OPTIMUM FOUND,-48992,0.012,proved
